country,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.044,0.053,,0.058,,,,,,,,,,0.0724,0.0699,0.0771,0.0588,0.0819,0.0856,0.0795,0.0668,0.067,0.104,0.0917,0.115,0.14,0.048,0.0425,,0.0566,0.05,0.0378,0.0355,0.0314,0.0392,0.0461,0.0409,0.0346,0.0323,0.0308,0.0348,0.0362,0.046,0.0384
Egypt,,,,,,,,,,,,,,,,,,,,,,,,0.024,0.0182,0.0153,0.0171,0.023,0.0257,,0.0313,0.0364,0.0455,0.0518,0.0497,0.0521,0.0647,0.0589,,,,,0.0706,0.0843,0.0938,0.0892,0.109,0.109,0.11,,0.0837,0.0803,0.0795,0.0898,0.0926,0.1,0.11,0.103,0.112,0.105,0.088,0.0852,0.0909,0.0876,0.118,0.126,0.132,0.131,0.131,0.124,0.118
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0373,0.0679,0.133,,,,,0.169,0.0863,,0.0937,0.0835,0.0996,0.0753,0.0788,0.0994,0.0768,0.0765,0.0768,0.0798,0.071,0.0668,0.0696,0.0696,0.0573,0.0626,0.0605,,0.0657,0.0641,,,,,,,,,,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00637,0.0147,0.0368,0.0654,0.0756,0.0966,0.0991,0.104,0.0951,0.116,0.134,0.131,0.1,0.113,0.102,0.0803,0.0591,0.0459,0.0545,0.135,0.167,0.123,0.1,0.0863,0.0735,0.0619,0.0676,0.0576
Eswatini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.282,,,,,,,,,0.227,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0371,,,,,,0.025,,,,,,,,0.0225,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0606,,,,,,,,,0.0593,0.0535,0.0588,0.057,0.054,,,,,,,,0.0822,0.047,0.0389,,,0.0894,0.0872,0.0891,0.0441,0.09,,0.0617,,0.0432,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0307,0.065,0.116,0.162,0.164,0.17,0.156,0.15,0.132,0.117,0.111,0.103,0.104,0.105,0.104,0.0838,0.0772,0.0685,0.0637,0.0825,0.0839,0.0778,0.0769,0.0819,0.0866,0.0938,0.0882,0.0864
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0792,0.0953,0.103,0.102,0.107,0.102,0.0962,0.0936,0.0913,0.102,0.113,0.126,0.118,0.124,0.126,0.121,0.12,0.102,0.0861,0.087,0.0831,0.0891,0.0849,0.0845,0.0766,0.0706,0.0874,0.0887,0.0881,0.094,0.0992,0.103,0.104,0.101,0.094
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.204,,,,,,,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0942,,,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.139
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0645,0.0667,0.0687,0.0661,0.0682,0.0632,0.0571,0.0489,0.0532,0.0632,0.0768,0.0873,0.0816,0.0882,0.0986,0.0979,0.0886,0.0792,0.0777,0.0848,0.0978,0.107,0.112,0.103,0.0866,0.0752,0.0774,0.0697,0.0582,0.0538,0.0523,0.0498,0.0462,0.0412,0.0375
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0681,,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0781,0.081,0.078,0.0736,0.0736,0.0765,0.0746,0.0702,0.0766,0.0784,0.0861,0.0886,0.0906,0.0966,0.0958,0.108,0.119,0.112,0.105,0.0997,0.0941,0.103,0.0999,0.0901,0.084,0.0776,0.0962,0.127,0.179,0.244,0.275,0.265,0.249,0.235,0.215
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.269,,0.169,,0.152,,,,,,,,,,,,,,,0.242,0.245,0.229,,
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0215,0.0227,,,,,0.024,,0.0194,,,,,,,,,,,,,,0.0281,0.0297,,,,,,0.035,0.0413,0.0276,0.0302,0.0272,0.0251,0.0283,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0455,,,,,,,,,,,,,,,
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.131,,,,,,,,,,,,,,,,,,,0.107,,,,,,,,,,,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.168,,,,,,,,,,
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.081,,,,,,,,0.073,,,,0.121,0.114,,,0.0478,0.0458,0.0306,,,0.0324,0.0437,0.0332,0.0402,0.0385,,0.04,0.0402,0.053,0.0599,0.0491,0.0357,0.0321,0.0316,0.0329,0.0412,0.0447,0.0375,0.041,0.0549,0.0459,0.0467,0.0405
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0994,0.121,0.108,0.102,0.1,0.0899,0.0893,0.0693,0.0656,0.0567,0.0561,0.0579,0.0583,0.0719,0.0749,0.0741,0.0782,0.1,0.112,0.11,0.11,0.102,0.0773,0.0681,0.0511,0.0416
