country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Greece,,,,,,,,,,,,,,0.36,0.357,0.339,0.357,0.339,0.321,0.313,0.277,0.252,0.26,0.252,0.256,0.251,0.243,0.236,0.213,0.185,0.172,0.148,0.139,0.137,0.113,0.111,0.108,0.105,0.0968,0.0955,0.0912,0.0848,0.0777,0.0772,0.0707,0.063,0.0577,0.0596
Grenada,,,,,,,,,,,,,,,,,,,,,,0.0551,,,,,0.0061,,0.0173,,,,,,,,,,,,,,,,,,,
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.131,,0.151,,0.245,0.21,0.171,,,,,,0.169,0.128,0.176,0.121,0.131,0.123,0.114,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41,,,,,,,,,,,,,,,
Haiti,,,,,,,,,,,,,,,,,,,,,0.112,,,,,,,,,,,,,0.034,,,,,,,,,,,,,,
Honduras,,,,,,,,,,,,,,,,,,,,,0.0626,0.0662,0.0702,,0.0609,0.0646,0.105,0.108,0.107,0.143,,0.113,0.11,0.101,0.0913,0.0906,0.0778,0.0835,0.077,0.0925,0.106,0.108,0.0943,0.104,0.101,0.113,0.105,0.11
Hungary,,,,,,,,,,,,,,,,,,,,,,,0.0182,0.0166,0.016,0.0166,0.016,0.0176,0.0112,0.0107,0.01,0.0094,0.0098,0.007,0.0062,0.0067,0.0077,0.0069,0.0044,0.0048,0.0045,0.0063,0.0053,0.0047,0.004,0.0027,0.0039,0.0046
Iceland,,,,,,,,,,,,,,,,,,,,,,0.0304,0.0272,0.0284,0.0249,0.0125,0.0092,0.0039,0.0031,0.003,0.0056,,0.0039,,,,,,,,,,,,,,,0.0023
India,,,,,,,,,,,,,,,,,,,,,,,,,0.337,,,,,,0.336,,,,,0.382,,,,,0.318,,0.315,,,,,
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.389,0.386,0.362,0.415,0.385,0.375,0.341,0.336,0.326,0.329,0.335,0.328,0.321,0.308,0.3,0.281,0.26,0.252
