country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Eswatini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.609,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,0.0765,,,,,0.171,,,,,,0.145,,,,,,,,0.206,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,0.644,,,,,,0.668,0.655,0.643,,,,,,,0.509,0.685,0.732,,,,0.425,,,0.464,,0.667,
Finland,0.421,0.439,0.457,0.46,0.464,0.478,0.494,0.506,0.517,0.521,0.522,0.525,0.535,0.548,0.558,0.571,0.576,0.59,0.601,0.606,0.606,0.622,0.634,0.642,0.647,0.646,0.643,0.646,0.645,0.657,0.657,0.669,0.672,0.678,0.687,0.692,0.694,0.696,0.7,0.712,0.719,0.725,0.727,0.727,0.735,0.738,0.737,0.739
France,0.48,0.487,0.494,0.5,0.506,0.518,0.528,0.536,0.546,0.555,0.562,0.572,0.581,0.592,0.602,0.613,0.622,0.63,0.638,0.644,0.648,0.655,0.646,0.669,0.68,0.681,0.686,0.688,0.692,0.694,0.696,0.699,0.705,0.71,0.717,0.723,0.723,0.731,0.736,0.74,0.745,0.746,0.75,0.75,0.758,0.759,0.758,0.76
Gabon,,,,,,,,,,,,,,,,,,,,,,,,0.469,,,,,,,,,,,,,,,,,,,,,,,,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,0.278,,,,,,,,,,,,,,,,,,,0.52,,,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.412,0.383,0.38,0.379,0.38,0.367,0.371,0.364,0.356,0.362,,,,0.371,0.376,,0.391,,0.401,0.437
Germany,,,,,,,,,,,,,,0.531,0.54,0.538,0.547,0.552,0.55,0.56,0.562,0.555,0.573,0.586,0.598,0.608,0.618,0.624,0.628,0.633,0.638,0.646,0.652,0.662,0.664,0.678,0.681,0.678,0.689,0.695,0.7,0.701,0.703,0.708,0.705,0.709,0.713,0.713
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.311,,,,,,,0.307,,,,0.428,,,0.403,,0.461,,
Greece,,,,,,,,,,,,0.403,0.419,0.43,0.446,0.455,0.453,0.47,0.48,0.49,0.502,0.521,0.53,0.545,0.556,0.564,0.569,0.577,0.589,0.596,0.6,0.611,0.62,0.624,0.652,0.655,0.663,0.662,0.666,0.672,0.68,0.7,0.705,0.708,0.715,0.722,0.724,0.725
Grenada,,,,,,,,,,,,,,,,,,,0.494,,,,,,0.558,,0.57,,0.585,,,,,,,,,,,,,,,,,,,
Guatemala,,,,,,,,,,,,0.296,0.296,,,,,0.313,,0.318,0.572,0.534,,,,,,,0.392,,0.377,,0.375,0.428,0.437,,0.44,,,,0.443,0.426,0.483,0.51,0.49,0.492,0.496,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.231,,,,,,,,,,,,,,,
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,,,,,0.505,,,,,,,,,,,,,,,
Haiti,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.244,0.252,0.23,0.23,,,,,0.222,,0.228,,,,,,,,,,,,,0.392,,,,,,,,,,,,,,
Honduras,0.223,0.225,0.227,0.229,0.232,0.235,0.237,0.24,0.242,0.242,0.245,0.244,0.247,0.25,,0.73,0.722,0.723,,,0.332,0.406,0.416,,0.387,0.385,0.394,0.41,0.424,0.429,,0.409,0.393,0.412,0.427,0.433,0.423,0.435,0.437,0.435,0.441,0.449,0.43,0.464,0.49,0.495,0.511,0.473
Hungary,,,,,,,,,,,0.368,0.355,0.355,0.361,0.368,0.376,0.385,0.393,0.401,0.41,0.45,0.478,0.536,0.571,0.583,0.594,0.585,0.59,0.579,0.587,0.598,0.594,0.597,0.612,0.618,0.627,0.629,0.629,0.635,0.642,0.648,0.643,0.651,0.653,0.646,0.647,0.645,0.634
Iceland,,,,,,,,,,,,,,,,,,,,,,0.638,0.648,0.657,0.65,0.655,0.664,0.661,0.647,0.679,0.691,0.692,0.7,0.713,0.703,0.715,0.72,0.73,0.733,0.753,0.758,0.758,0.76,0.767,0.769,0.777,0.785,0.786
India,,,,,,,,,,,,,,,,,,,,,,,,,0.223,,,,,,0.24,,,,,0.252,,,,,0.267,,0.286,,,,,
Indonesia,,,,,,,0.236,0.277,0.298,0.222,0.304,,0.304,,,0.318,0.365,0.367,0.304,0.304,0.302,0.314,0.309,0.335,0.35,0.376,0.379,0.398,0.388,0.39,0.373,0.375,0.369,0.359,0.387,0.372,0.393,0.399,0.404,0.412,0.422,0.428,0.43,0.441,0.443,0.449,0.465,0.472
Iran,,,,,,,,,,,,,0.469,,,,,,,,,,,,,,0.443,,,,,,,,,0.449,0.451,0.451,0.465,0.473,0.486,0.484,0.476,0.474,0.483,0.494,0.501,0.504
Ireland,,,,,,,,,,,,,,0.519,0.528,0.534,0.539,0.552,0.554,0.556,0.558,0.568,0.581,0.595,0.593,0.6,0.612,0.604,0.622,0.631,0.636,0.64,0.653,0.658,0.66,0.665,0.661,0.685,0.712,0.743,0.758,0.766,0.771,0.769,0.771,0.763,0.759,0.759
Israel,0.572,0.573,0.576,0.575,0.585,0.593,0.6,0.605,0.616,0.616,0.621,0.627,0.637,0.637,0.643,0.65,0.652,0.65,0.665,0.674,0.675,0.672,0.673,0.67,0.675,0.677,0.684,0.694,0.712,0.722,0.731,0.74,0.747,0.752,0.751,0.757,0.759,0.757,0.757,0.771,0.773,0.772,0.786,0.796,0.797,0.798,0.798,0.797
Italy,,,,,,,,0.466,0.473,0.482,0.487,0.499,0.514,0.52,0.537,0.555,0.564,0.573,0.58,0.588,0.586,0.593,0.574,0.588,0.593,0.598,0.605,0.615,0.615,0.622,0.63,0.631,0.635,0.635,0.65,0.651,0.657,0.659,0.665,0.671,0.676,0.68,0.687,0.693,0.695,0.697,0.7,0.702
Jamaica,,,,,,,,,,,,,,,,,,,,,,,0.531,0.555,0.563,0.565,0.57,0.6,0.606,0.613,0.62,0.619,0.624,0.62,0.632,0.64,0.639,0.642,0.633,0.631,0.638,0.663,0.663,0.665,0.666,0.673,0.677,0.676
Japan,0.467,0.479,0.488,0.491,0.499,0.513,0.518,0.526,0.531,0.537,0.54,0.545,0.552,0.557,0.559,0.56,0.567,0.575,0.575,0.577,0.582,0.584,0.585,0.593,0.597,0.604,0.608,0.611,0.621,0.625,0.631,0.639,0.648,0.651,0.66,0.668,,0.667,0.677,0.688,0.695,0.279,0.692,0.69,0.7,0.693,0.698,0.698
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.749,,0.697,,,,,,,,,,,,,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.481,0.482,0.478,0.491,0.496,0.5,0.499,0.509,0.523,0.53,0.546,0.551,0.56,0.582,0.614,0.628,0.645
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.412,,,,,,0.322,,,,,,,,,,,,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.898,,,,,0.811,,,,,0.618,,,,,,,
Kuwait,,,,,,,,,,,,,,0.723,,,,,0.732,,,,,,,0.74,,,,,,,,0.817,,0.761,,,0.723,,,,,,,,0.749,0.745
Kyrgyz Republic,,,,,,,,,,,,,,,,,0.362,0.355,0.357,0.352,0.394,0.38,0.393,0.397,0.387,0.361,0.383,0.382,0.38,0.361,0.365,0.367,0.389,0.417,0.435,0.439,0.443,0.453,0.453,,,,0.482,0.481,0.48,0.498,0.511,0.538
Lao,,,,,,,,,,,,,,,,,,,,,,,,,,0.111,,,,,,,,,,,,,,,0.202,,,,,,,0.422
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,0.554,0.524,0.539,0.568,0.583,0.582,0.582,0.587,0.598,0.615,0.611,0.611,0.626,0.669,0.683,0.682,0.681,0.68,0.686,0.684,0.682,0.698
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,0.307,0.283,,0.183,,,,,,,,,0.455,,,,,,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.416,,,,,,,
Libya,,0.425,0.426,0.422,0.411,0.404,0.401,0.405,0.408,,0.474,,,0.443,,0.438,0.502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.649,0.65,0.657,0.665,0.67,0.668,0.681,0.684,0.686,0.692,0.696,0.704,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.508,0.514,0.529,0.54,0.558,0.54,0.54,0.555,0.567,0.566,0.581,0.614,0.642,0.666,0.67,0.661,0.66,0.661,0.659,0.669,0.671
Luxembourg,0.46,0.47,0.479,0.47,0.472,0.498,0.515,0.529,0.545,0.556,0.565,0.578,0.589,0.617,0.622,0.629,0.653,0.656,0.672,0.67,0.669,0.676,0.651,0.7,0.695,0.705,0.743,0.742,0.752,0.758,0.766,0.768,0.778,0.778,0.79,0.809,0.814,0.812,0.83,0.837,0.812,0.828,0.841,0.84,0.857,0.789,0.774,0.732
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.153,,0.146,,,,,,,0.234,,,0.164,,
Malaysia,,,,,,,,,,,0.387,0.388,0.444,0.435,0.45,0.458,0.465,0.468,0.467,0.459,0.465,0.437,0.466,0.469,,0.477,0.484,0.49,0.494,0.499,0.495,0.518,0.531,0.537,0.553,0.556,0.551,0.568,0.574,0.595,0.58,0.594,0.587,0.586,0.597,0.6,0.611,
Maldives,,,,,,,,,,,,,,,,,,,,,0.485,,,,,0.504,,,,,0.502,,,0.567,,,,,,,,,,,0.681,,0.704,
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.419,,0.283,,,,,,,,0.253,0.295,0.277,
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.651,0.667,0.661,0.677,0.683,0.681,0.696,0.719,0.727,0.735,0.732,0.743,0.767,0.768,0.777,0.786,0.789,0.792
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.583,,,,,,,,,,0.823,0.796,,,,,,,
Mauritius,,,,,,,,,,,,,,,,,,,,,0.4,,0.453,,0.467,0.457,0.485,0.495,0.496,0.501,0.493,0.516,0.525,0.53,0.562,0.575,0.58,0.592,0.586,0.61,0.623,0.636,0.638,0.655,0.664,0.672,0.666,0.684
Mexico,,,,,,,,,,,,,,,,,,,,,0.461,0.503,,0.511,,0.545,0.55,0.538,0.555,0.539,0.553,0.563,0.529,0.541,0.548,0.586,0.59,0.595,0.601,0.614,0.611,0.615,0.616,0.615,0.609,0.609,0.607,0.604
Moldova,,,,,,,,,,,,0.307,0.307,0.315,0.314,0.323,0.324,0.329,0.337,0.329,0.339,0.313,0.314,0.342,0.337,,0.421,0.437,0.397,0.375,0.352,0.351,0.359,0.409,0.433,0.433,0.482,0.485,0.493,0.525,0.538,0.537,0.543,0.535,0.516,0.48,0.492,0.51
